stock,sample_count,before_gap_samples,after_gap_samples,inferred_denominator,denominator_min,denominator_max,denominator_abs_spread,denominator_rel_spread,db_max_adj,db_max_minus_inferred,db_max_matches_inferred,planned_factor_min,planned_factor_max
300409.SZ,33,14,19,5.94,5.94,5.94,0.0,0.0,5.94,0.0,True,1.0,1.0
300410.SZ,31,14,17,4.902,4.902,4.902,0.0,0.0,4.902,0.0,True,1.0,1.0
300411.SZ,32,14,18,3.623,3.623,3.623,0.0,0.0,3.623,0.0,True,1.0,1.0
300412.SZ,32,14,18,8.3086,8.3086,8.3086,0.0,0.0,8.3086,0.0,True,1.0,1.0
300414.SZ,33,14,19,3.8969,3.8968999326025573,3.8969,6.739744273787096e-08,1.72951429951682e-08,3.8969,0.0,True,1.0,1.0
300415.SZ,33,14,19,4.3181,4.3181,4.3181,0.0,0.0,4.3181,0.0,True,1.0,1.0
300416.SZ,28,14,14,6.9824,6.982399869288993,6.9824,1.307110073511808e-07,1.872006865134922e-08,6.9824,0.0,True,1.0,1.0
300417.SZ,33,14,19,3.696,3.696,3.696,0.0,0.0,3.696,0.0,True,1.0,1.0
300418.SZ,33,14,19,4.0482,4.0482,4.0482,0.0,0.0,4.0482,0.0,True,1.0,1.0
300419.SZ,34,14,20,7.691,7.691,7.691,0.0,0.0,7.691,0.0,True,1.0,1.0
300421.SZ,33,14,19,2.7197,2.7197,2.7197,0.0,0.0,2.7197,0.0,True,1.0,1.0
300422.SZ,33,14,19,5.144,5.144,5.144,0.0,0.0,5.144,0.0,True,1.0,1.0
300425.SZ,34,14,20,8.678899951750049,8.678899951750049,8.6789,4.824995158969614e-08,5.559454753245176e-09,8.6789,4.824995158969614e-08,True,0.9946882724761963,0.9946882724761963
300426.SZ,29,14,15,5.036399856842119,5.036399856842119,5.036399856842119,0.0,0.0,5.0364,1.4315788110508265e-07,True,0.9999206066131592,0.9999206066131592
300429.SZ,28,14,14,6.063199851364958,6.063199851364958,6.063199851364958,0.0,0.0,6.0632,1.486350420520921e-07,True,0.9999670386314392,0.9999670386314392
300430.SZ,33,14,19,3.9215,3.921499931352129,3.9215,6.864787094329472e-08,1.75055134370253e-08,3.9215,0.0,True,0.9979854822158813,0.9979854822158813
300432.SZ,33,14,19,11.4597,11.4597,11.4597,0.0,0.0,11.4597,0.0,True,1.0,1.0
300433.SZ,33,14,19,6.068200014365091,6.068200014365091,6.068200014365091,0.0,0.0,6.0682,-1.4365091338675029e-08,True,0.9966546893119812,0.9966546893119812
300434.SZ,33,14,19,3.7727,3.7727,3.7727000817235843,8.172358434421767e-08,2.1661829550247215e-08,3.7727,0.0,True,1.0,1.0
300435.SZ,32,14,18,3.2437,3.2437,3.2437,0.0,0.0,3.2437,0.0,True,1.0,1.0
