stock,date,db_rows,db_close_rows,qlib_close_rows,qlib_close_non_null,qlib_close_file_exists,qlib_close_bin
000546.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000546.sz/close.1min.bin
000547.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000547.sz/close.1min.bin
000557.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000557.sz/close.1min.bin
000558.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000558.sz/close.1min.bin
000560.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000560.sz/close.1min.bin
000563.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000563.sz/close.1min.bin
000564.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000564.sz/close.1min.bin
000571.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000571.sz/close.1min.bin
000572.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000572.sz/close.1min.bin
000582.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000582.sz/close.1min.bin
000586.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000586.sz/close.1min.bin
000590.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000590.sz/close.1min.bin
000599.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000599.sz/close.1min.bin
000600.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000600.sz/close.1min.bin
000609.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000609.sz/close.1min.bin
000612.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000612.sz/close.1min.bin
000615.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000615.sz/close.1min.bin
000620.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000620.sz/close.1min.bin
000629.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000629.sz/close.1min.bin
000637.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000637.sz/close.1min.bin
000651.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000651.sz/close.1min.bin
000655.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000655.sz/close.1min.bin
000665.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000665.sz/close.1min.bin
000669.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000669.sz/close.1min.bin
000670.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000670.sz/close.1min.bin
000679.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000679.sz/close.1min.bin
000681.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000681.sz/close.1min.bin
000682.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000682.sz/close.1min.bin
000683.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000683.sz/close.1min.bin
000691.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000691.sz/close.1min.bin
000692.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000692.sz/close.1min.bin
000695.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000695.sz/close.1min.bin
000697.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000697.sz/close.1min.bin
000700.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000700.sz/close.1min.bin
000702.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000702.sz/close.1min.bin
000703.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000703.sz/close.1min.bin
000707.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000707.sz/close.1min.bin
000708.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000708.sz/close.1min.bin
000712.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000712.sz/close.1min.bin
000713.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000713.sz/close.1min.bin
000719.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000719.sz/close.1min.bin
000728.SZ,2025-07-08,240,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000728.sz/close.1min.bin
